dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.327803,2.175059,0.001632,0.065261,1.305224,26.104483,6.231699
0.050000,7.327803,2.175059,0.008158,0.195784,2.610448,26.104483,6.232527
0.050000,7.340927,2.174408,0.022841,0.391567,3.915672,26.104483,6.234386
0.050000,7.367002,2.173177,0.048946,0.652612,5.220897,26.104483,6.237673
0.050000,7.407753,2.171425,0.089734,0.978918,6.526121,26.104483,6.242760
0.050000,7.466448,2.169264,0.148469,1.370485,7.831345,26.104483,6.249982
0.050000,7.544730,2.167035,0.226783,1.762053,7.831345,0.000000,6.259421
0.050000,7.642605,2.165274,0.324675,2.153620,7.831345,0.000000,6.270908
0.050000,7.760072,2.164619,0.442145,2.545187,7.831345,-0.000000,0.001044
0.050000,7.897115,2.165791,0.579193,2.936754,7.831345,0.000000,0.015938
0.050000,8.053694,2.169564,0.735820,3.328322,7.831345,0.000000,0.032098
0.050000,8.229751,2.176739,0.912025,3.719889,7.831345,0.000000,0.049169
0.050000,8.425202,2.188104,1.107809,4.111456,7.831345,0.000000,0.066753
0.050000,8.639944,2.204398,1.323171,4.503023,7.831345,-0.000000,0.084414
0.050000,8.873861,2.226268,1.558111,4.894590,7.831345,0.000000,0.101685
0.050000,9.126837,2.254227,1.812630,5.286158,7.831345,0.000000,0.118065
0.050000,9.398766,2.288611,2.086727,5.677725,7.831345,-0.000000,0.133033
0.050000,9.689574,2.329533,2.380403,6.069292,7.831345,0.000000,0.146045
0.050000,9.999235,2.376833,2.693656,6.460859,7.831345,-0.000000,0.156532
0.050000,10.327787,2.430035,3.026488,6.852427,7.831345,0.000000,0.163896
0.050000,10.673741,2.488015,3.377267,7.178733,6.526121,-26.104483,0.167496
0.050000,11.034089,2.548943,3.742730,7.439778,5.220897,-26.104483,0.166730
0.050000,11.405895,2.610597,4.119614,7.635561,3.915672,-26.104483,0.161106
0.050000,11.786252,2.670461,4.504655,7.766084,2.610448,-26.104483,0.150242
0.050000,12.172230,2.725844,4.894590,7.831345,1.305224,-26.104483,0.133877
0.050000,12.559551,2.773880,5.284887,7.780500,-1.016905,-46.442576,0.111975
0.050000,12.943778,2.811976,5.671009,7.664393,-2.322129,-26.104483,0.084746
0.050000,13.321543,2.838127,6.049694,7.483025,-3.627353,-26.104483,0.052578
0.050000,13.689285,2.850918,6.417680,7.236397,-4.932577,-26.104483,0.016105
0.050000,14.043282,2.849698,6.771702,6.924507,-6.237801,-26.104483,6.259416
0.050000,14.379720,2.834716,7.108499,6.547355,-7.543025,-26.104483,6.217293
0.050000,14.696067,2.807053,7.426078,6.155788,-7.831345,-5.766389,6.174090
0.050000,14.991509,2.768267,7.724078,5.764221,-7.831345,-0.000000,6.130800
0.050000,15.265730,2.720210,8.002500,5.372654,-7.831345,0.000000,6.088298
0.050000,15.518582,2.664924,8.261343,4.981086,-7.831345,-0.000000,6.047349
0.050000,15.750086,2.604538,8.500608,4.589519,-7.831345,0.000000,6.008580
0.050000,15.960422,2.541168,8.720295,4.197952,-7.831345,0.000000,5.972469
0.050000,16.149901,2.476845,8.920404,3.806385,-7.831345,-0.000000,5.939357
0.050000,16.318929,2.413458,9.100934,3.414817,-7.831345,0.000000,5.909459
0.050000,16.467972,2.352711,9.261885,3.023250,-7.831345,-0.000000,5.882891
0.050000,16.597518,2.296113,9.403259,2.631683,-7.831345,0.000000,5.859696
0.050000,16.708049,2.244963,9.525054,2.240116,-7.831345,0.000000,5.839862
0.050000,16.800018,2.200356,9.627270,1.848548,-7.831345,-0.000000,5.823349
0.050000,16.873827,2.163191,9.709908,1.456981,-7.831345,0.000000,5.810101
0.050000,16.929815,2.134178,9.772968,1.065414,-7.831345,0.000000,5.800059
0.050000,16.969372,2.113247,9.817721,0.724692,-6.814440,20.338093,5.792970
0.050000,16.995231,2.099370,9.847069,0.449231,-5.509216,26.104483,5.788339
0.050000,17.010363,2.091178,9.864276,0.239032,-4.203992,26.104483,5.785630
0.050000,17.017678,2.087198,9.872604,0.094093,-2.898768,26.104483,5.784321
0.050000,17.020061,2.085900,9.875316,0.014416,-1.593544,26.104483,5.783895
0.050000,17.020377,2.085727,9.875677,0.000000,-0.288319,26.104483,5.783839
0.050000,17.020377,2.085727,9.875677,0.000000,0.000000,5.766389,5.783839
